Date/Time	Lamp_State	Fan_State	Bathroom_Humidity	Bathroom_Temperature	Bedroom1_Humidity	Bedroom1_Temperature	Kitchen_Humidity	Kitchen_Temperature	Diningroom_Humidity	Diningroom_Temperature	Livingroom1_Humidity	Livingroom1_Temperature	Livingroom2_Humidity	Livingroom2_Temperature	Bedroom2_Humidity	Bedroom2_Temperature	
2019-07-11 12:51:08.359063	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	157.0	51.8	60.0	71.6	58.0	75.2	
2019-07-11 12:52:17.240558	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:53:21.040260	0	0	69.0	73.4	59.0	75.2	67.0	71.6	64.0	71.6	59.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:54:27.378008	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	158.0	51.8	58.0	75.2	
2019-07-11 12:55:36.236144	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	73.4	61.0	71.6	58.0	75.2	
2019-07-11 12:56:42.573321	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:57:56.501756	0	0	69.0	73.4	59.0	75.2	162.0	51.8	161.0	51.8	60.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:59:05.385007	0	0	69.0	73.4	59.0	75.2	67.0	71.6	66.0	71.6	60.0	73.4	61.0	71.6	58.0	75.2	
2019-07-11 13:00:14.255889	0	0	69.0	73.4	59.0	75.2	68.0	71.6	66.0	71.6	60.0	71.6	61.0	73.4	58.0	75.2	
2019-07-11 13:01:25.650744	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	71.6	61.0	71.6	58.0	75.2	
2019-07-11 13:02:39.558750	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	158.0	51.8	60.0	71.6	58.0	75.2	
2019-07-11 13:03:56.008634	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	71.6	61.0	71.6	58.0	75.2	
2019-07-11 13:05:07.396661	0	0	68.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	71.6	60.0	71.6	58.0	73.4	
