Date_Time,Lamp_State,Fan_State,Bathroom_Humidity,Bathroom_Temperature,Bedroom1_Humidity,Bedroom1_Temperature,Kitchen_Humidity,Kitchen_Temperature,Diningroom_Humidity,Diningroom_Temperature,Livingroom1_Humidity,Livingroom1_Temperature,Livingroom2_Humidity,Livingroom2_Temperature,Bedroom2_Humidity,Bedroom2_Temperature,Bedroom2-Bathroom_Door,Bedroom1-Livingroom_Door,Livingroom-Kitchen_Door,Livingroom-Bathroom_Door,Bedroom1-Bathroom_Door,N/A(Nothing),Bedroom1-Back_Door,Livingroom-Front_Door,Bedroom1-2ft_Window,Livingroom-2ft_Window,Bedroom2-2ft_Window,Kitchen-2ft_Window,Bedroom2-3ft_Window,Livingroom-3ft_Window,Kitchen-3ft_Window,Bedroom1-3ft_Window
2019-07-12-10:11:06.678807,1,0,58,84.2,28,102.2,66,73.4,160,51.8,49,80.6,53,80.6,61,77,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
2019-07-12-10:12:15.543878,1,0,58,84.2,27,102.2,67,73.4,64,71.6,49,80.6,52,80.6,61,77,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
2019-07-12-10:13:21.882367,0,1,59,84.2,28,102.2,67,73.4,63,71.6,49,80.6,154,55.4,61,77,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0
2019-07-12-10:14:35.792859,0,1,58,84.2,31,98.6,64,73.4,60,71.6,49,80.6,52,80.6,59,77,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0
2019-07-12-10:16:04.922993,0,1,57,82.4,31,98.6,64,73.4,63,71.6,51,78.8,52,78.8,58,77,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0
2019-07-12-10:17:23.892371,0,1,58,82.4,36,93.2,63,73.4,59,71.6,51,78.8,54,78.8,58,77,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0
2019-07-12-10:18:32.787306,0,1,58,82.4,36,93.2,63,73.4,159,51.8,53,78.8,55,77,55,77,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
2019-07-12-10:19:41.650587,0,1,58,80.6,40,89.6,64,73.4,63,71.6,154,55.4,56,77,55,77,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
2019-07-12-10:21:15.887246,0,1,59,80.6,41,86,64,73.4,64,71.6,54,77,57,77,55,77,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
2019-07-12-10:22:32.386184,0,1,59,78.8,43,86,65,73.4,60,71.6,54,77,57,77,55,77,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
2019-07-12-10:23:51.396765,0,1,60,78.8,45,84.2,64,73.4,60,71.6,54,75.2,56,75.2,55,77,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0
2019-07-12-10:25:20.567952,0,1,60,78.8,45,84.2,63,71.6,63,71.6,53,77,55,75.2,55,77,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0
2019-07-12-10:26:26.911207,0,1,61,78.8,46,82.4,63,71.6,63,71.6,54,75.2,56,75.2,55,77,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0
2019-07-12-10:27:33.261175,0,1,61,77,48,82.4,63,71.6,59,71.6,54,75.2,56,75.2,55,75.2,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0
2019-07-12-10:28:42.125783,0,1,61,77,48,80.6,63,71.6,63,71.6,54,75.2,57,75.2,55,75.2,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0
2019-07-12-10:29:50.989023,0,1,61,77,50,78.8,61,71.6,64,71.6,55,75.2,156,53.6,56,75.2,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0
2019-07-12-10:30:59.863440,0,1,62,77,50,78.8,65,71.6,65,71.6,55,73.4,58,73.4,56,75.2,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0
2019-07-12-10:32:13.771399,0,1,63,75.2,52,78.8,65,71.6,65,71.6,56,73.4,58,73.4,56,75.2,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0
